ID         Site                     App        Workdir                    State              Tags                                                                                                         
33979564   2x2_production_polaris   analysis   workdir/v0_31_analysis     JOB_FINISHED       {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979565   2x2_production_polaris   analysis   workdir/v0_32_analysis     JOB_FINISHED       {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979566   2x2_production_polaris   analysis   workdir/v0_33_analysis     JOB_FINISHED       {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979567   2x2_production_polaris   analysis   workdir/v0_34_analysis     JOB_FINISHED       {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979568   2x2_production_polaris   analysis   workdir/v0_35_analysis     JOB_FINISHED       {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979569   2x2_production_polaris   analysis   workdir/v0_36_analysis     JOB_FINISHED       {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979570   2x2_production_polaris   analysis   workdir/v0_37_analysis     JOB_FINISHED       {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979571   2x2_production_polaris   analysis   workdir/v0_38_analysis     JOB_FINISHED       {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979572   2x2_production_polaris   analysis   workdir/v0_39_analysis     JOB_FINISHED       {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979573   2x2_production_polaris   analysis   workdir/v0_40_analysis     JOB_FINISHED       {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979574   2x2_production_polaris   analysis   workdir/v0_41_analysis     JOB_FINISHED       {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979575   2x2_production_polaris   analysis   workdir/v0_42_analysis     AWAITING_PARENTS   {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979576   2x2_production_polaris   analysis   workdir/v0_43_analysis     JOB_FINISHED       {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979577   2x2_production_polaris   analysis   workdir/v0_44_analysis     JOB_FINISHED       {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
