ID         Site                     App    Workdir            State              Tags                                                                         
33962037   2x2_production_polaris   plot   workdir/53_plot    AWAITING_PARENTS   {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962038   2x2_production_polaris   plot   workdir/54_plot    RESTART_READY      {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962039   2x2_production_polaris   plot   workdir/55_plot    AWAITING_PARENTS   {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962040   2x2_production_polaris   plot   workdir/56_plot    RESTART_READY      {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962041   2x2_production_polaris   plot   workdir/57_plot    RESTART_READY      {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962042   2x2_production_polaris   plot   workdir/58_plot    RESTART_READY      {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962043   2x2_production_polaris   plot   workdir/59_plot    AWAITING_PARENTS   {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962044   2x2_production_polaris   plot   workdir/60_plot    AWAITING_PARENTS   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962045   2x2_production_polaris   plot   workdir/61_plot    AWAITING_PARENTS   {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962046   2x2_production_polaris   plot   workdir/62_plot    RESTART_READY      {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962047   2x2_production_polaris   plot   workdir/63_plot    RESTART_READY      {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962048   2x2_production_polaris   plot   workdir/64_plot    AWAITING_PARENTS   {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962049   2x2_production_polaris   plot   workdir/65_plot    AWAITING_PARENTS   {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962050   2x2_production_polaris   plot   workdir/66_plot    RESTART_READY      {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962051   2x2_production_polaris   plot   workdir/67_plot    AWAITING_PARENTS   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
