ID         Site                     App           Workdir                       State          Tags                                                                                                               
33989574   2x2_production_polaris   analysis_v1   workdir/v3_27_analysis_v1     JOB_FINISHED   {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989575   2x2_production_polaris   analysis_v1   workdir/v3_28_analysis_v1     JOB_FINISHED   {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989576   2x2_production_polaris   analysis_v1   workdir/v3_29_analysis_v1     JOB_FINISHED   {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989577   2x2_production_polaris   analysis_v1   workdir/v3_30_analysis_v1     JOB_FINISHED   {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989578   2x2_production_polaris   analysis_v1   workdir/v3_31_analysis_v1     JOB_FINISHED   {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989579   2x2_production_polaris   analysis_v1   workdir/v3_32_analysis_v1     JOB_FINISHED   {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989580   2x2_production_polaris   analysis_v1   workdir/v3_33_analysis_v1     JOB_FINISHED   {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989581   2x2_production_polaris   analysis_v1   workdir/v3_34_analysis_v1     JOB_FINISHED   {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989582   2x2_production_polaris   analysis_v1   workdir/v3_35_analysis_v1     JOB_FINISHED   {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989583   2x2_production_polaris   analysis_v1   workdir/v3_36_analysis_v1     JOB_FINISHED   {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989584   2x2_production_polaris   analysis_v1   workdir/v3_37_analysis_v1     JOB_FINISHED   {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989585   2x2_production_polaris   analysis_v1   workdir/v3_38_analysis_v1     JOB_FINISHED   {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989586   2x2_production_polaris   analysis_v1   workdir/v3_39_analysis_v1     JOB_FINISHED   {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989587   2x2_production_polaris   analysis_v1   workdir/v3_40_analysis_v1     JOB_FINISHED   {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989588   2x2_production_polaris   analysis_v1   workdir/v3_41_analysis_v1     JOB_FINISHED   {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989589   2x2_production_polaris   analysis_v1   workdir/v3_42_analysis_v1     FAILED         {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989590   2x2_production_polaris   analysis_v1   workdir/v3_43_analysis_v1     JOB_FINISHED   {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989591   2x2_production_polaris   analysis_v1   workdir/v3_44_analysis_v1     JOB_FINISHED   {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989592   2x2_production_polaris   analysis_v1   workdir/v3_45_analysis_v1     JOB_FINISHED   {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989593   2x2_production_polaris   analysis_v1   workdir/v3_46_analysis_v1     JOB_FINISHED   {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989594   2x2_production_polaris   analysis_v1   workdir/v3_47_analysis_v1     JOB_FINISHED   {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989595   2x2_production_polaris   analysis_v1   workdir/v3_48_analysis_v1     JOB_FINISHED   {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989596   2x2_production_polaris   analysis_v1   workdir/v3_49_analysis_v1     JOB_FINISHED   {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989597   2x2_production_polaris   analysis_v1   workdir/v3_50_analysis_v1     JOB_FINISHED   {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989598   2x2_production_polaris   analysis_v1   workdir/v3_51_analysis_v1     JOB_FINISHED   {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989599   2x2_production_polaris   analysis_v1   workdir/v3_52_analysis_v1     JOB_FINISHED   {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989600   2x2_production_polaris   analysis_v1   workdir/v3_53_analysis_v1     JOB_FINISHED   {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989601   2x2_production_polaris   analysis_v1   workdir/v3_54_analysis_v1     JOB_FINISHED   {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989602   2x2_production_polaris   analysis_v1   workdir/v3_55_analysis_v1     JOB_FINISHED   {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989603   2x2_production_polaris   analysis_v1   workdir/v3_56_analysis_v1     JOB_FINISHED   {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989604   2x2_production_polaris   analysis_v1   workdir/v3_57_analysis_v1     JOB_FINISHED   {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989605   2x2_production_polaris   analysis_v1   workdir/v3_58_analysis_v1     JOB_FINISHED   {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989606   2x2_production_polaris   analysis_v1   workdir/v3_59_analysis_v1     FAILED         {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989607   2x2_production_polaris   analysis_v1   workdir/v3_60_analysis_v1     JOB_FINISHED   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989608   2x2_production_polaris   analysis_v1   workdir/v3_61_analysis_v1     JOB_FINISHED   {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989609   2x2_production_polaris   analysis_v1   workdir/v3_62_analysis_v1     JOB_FINISHED   {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989610   2x2_production_polaris   analysis_v1   workdir/v3_63_analysis_v1     JOB_FINISHED   {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989611   2x2_production_polaris   analysis_v1   workdir/v3_64_analysis_v1     JOB_FINISHED   {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989612   2x2_production_polaris   analysis_v1   workdir/v3_65_analysis_v1     JOB_FINISHED   {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989613   2x2_production_polaris   analysis_v1   workdir/v3_66_analysis_v1     JOB_FINISHED   {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989614   2x2_production_polaris   analysis_v1   workdir/v3_67_analysis_v1     JOB_FINISHED   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989615   2x2_production_polaris   analysis_v1   workdir/v3_68_analysis_v1     JOB_FINISHED   {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989616   2x2_production_polaris   analysis_v1   workdir/v3_69_analysis_v1     JOB_FINISHED   {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989617   2x2_production_polaris   analysis_v1   workdir/v3_70_analysis_v1     JOB_FINISHED   {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989618   2x2_production_polaris   analysis_v1   workdir/v3_71_analysis_v1     JOB_FINISHED   {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989619   2x2_production_polaris   analysis_v1   workdir/v3_72_analysis_v1     JOB_FINISHED   {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989620   2x2_production_polaris   analysis_v1   workdir/v3_73_analysis_v1     JOB_FINISHED   {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
