ID         Site                     App         Workdir                     State          Tags                                                                                                          
33978543   2x2_production_polaris   inference   workdir/v0_32_inference     JOB_FINISHED   {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978544   2x2_production_polaris   inference   workdir/v0_33_inference     JOB_FINISHED   {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978545   2x2_production_polaris   inference   workdir/v0_34_inference     JOB_FINISHED   {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978546   2x2_production_polaris   inference   workdir/v0_35_inference     JOB_FINISHED   {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978547   2x2_production_polaris   inference   workdir/v0_36_inference     JOB_FINISHED   {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978548   2x2_production_polaris   inference   workdir/v0_37_inference     JOB_FINISHED   {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978549   2x2_production_polaris   inference   workdir/v0_38_inference     JOB_FINISHED   {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978550   2x2_production_polaris   inference   workdir/v0_39_inference     JOB_FINISHED   {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978551   2x2_production_polaris   inference   workdir/v0_40_inference     JOB_FINISHED   {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978552   2x2_production_polaris   inference   workdir/v0_41_inference     JOB_FINISHED   {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978553   2x2_production_polaris   inference   workdir/v0_42_inference     FAILED         {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978554   2x2_production_polaris   inference   workdir/v0_43_inference     JOB_FINISHED   {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978555   2x2_production_polaris   inference   workdir/v0_44_inference     JOB_FINISHED   {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978556   2x2_production_polaris   inference   workdir/v0_45_inference     JOB_FINISHED   {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978557   2x2_production_polaris   inference   workdir/v0_46_inference     JOB_FINISHED   {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
