ID         Site                     App     Workdir              State              Tags                                                                                               
33961616   2x2_production_polaris   larnd   workdir/0_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961617   2x2_production_polaris   larnd   workdir/1_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961618   2x2_production_polaris   larnd   workdir/2_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961619   2x2_production_polaris   larnd   workdir/3_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961620   2x2_production_polaris   larnd   workdir/4_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961621   2x2_production_polaris   larnd   workdir/5_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961622   2x2_production_polaris   larnd   workdir/6_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961623   2x2_production_polaris   larnd   workdir/7_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961624   2x2_production_polaris   larnd   workdir/8_larnd      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961625   2x2_production_polaris   larnd   workdir/9_larnd      RESTART_READY      {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961626   2x2_production_polaris   larnd   workdir/10_larnd     JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961627   2x2_production_polaris   larnd   workdir/11_larnd     JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961628   2x2_production_polaris   larnd   workdir/12_larnd     JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961629   2x2_production_polaris   larnd   workdir/13_larnd     RESTART_READY      {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961630   2x2_production_polaris   larnd   workdir/14_larnd     JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961631   2x2_production_polaris   larnd   workdir/15_larnd     RESTART_READY      {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961664   2x2_production_polaris   flow    workdir/0_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_0'}                                      
33961665   2x2_production_polaris   flow    workdir/1_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_1'}                                      
33961666   2x2_production_polaris   flow    workdir/2_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_2'}                                      
33961667   2x2_production_polaris   flow    workdir/3_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_3'}                                      
33961668   2x2_production_polaris   flow    workdir/4_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_4'}                                      
33961669   2x2_production_polaris   flow    workdir/5_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_5'}                                      
33961670   2x2_production_polaris   flow    workdir/6_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_6'}                                      
33961671   2x2_production_polaris   flow    workdir/7_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_7'}                                      
33961672   2x2_production_polaris   flow    workdir/8_flow       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_8'}                                      
33961673   2x2_production_polaris   flow    workdir/9_flow       RESTART_READY      {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_9'}                                      
33961674   2x2_production_polaris   flow    workdir/10_flow      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_10'}                                     
33961675   2x2_production_polaris   flow    workdir/11_flow      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_11'}                                     
33961676   2x2_production_polaris   flow    workdir/12_flow      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_12'}                                     
33961677   2x2_production_polaris   flow    workdir/13_flow      RESTART_READY      {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_13'}                                     
33961678   2x2_production_polaris   flow    workdir/14_flow      JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_14'}                                     
33961679   2x2_production_polaris   flow    workdir/15_flow      RESTART_READY      {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0_15'}                                     
33961680   2x2_production_polaris   plot    workdir/0_plot       JOB_FINISHED       {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0_0'}                                      
