ID         Site                     App        Workdir                    State          Tags                                                                                                         
33990601   2x2_production_polaris   analysis   workdir/v2_31_analysis     JOB_FINISHED   {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990602   2x2_production_polaris   analysis   workdir/v2_32_analysis     JOB_FINISHED   {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990603   2x2_production_polaris   analysis   workdir/v2_33_analysis     JOB_FINISHED   {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990604   2x2_production_polaris   analysis   workdir/v2_34_analysis     JOB_FINISHED   {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990605   2x2_production_polaris   analysis   workdir/v2_35_analysis     JOB_FINISHED   {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990606   2x2_production_polaris   analysis   workdir/v2_36_analysis     JOB_FINISHED   {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990607   2x2_production_polaris   analysis   workdir/v2_37_analysis     JOB_FINISHED   {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990608   2x2_production_polaris   analysis   workdir/v2_38_analysis     JOB_FINISHED   {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990609   2x2_production_polaris   analysis   workdir/v2_39_analysis     JOB_FINISHED   {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990610   2x2_production_polaris   analysis   workdir/v2_40_analysis     JOB_FINISHED   {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990611   2x2_production_polaris   analysis   workdir/v2_41_analysis     JOB_FINISHED   {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990612   2x2_production_polaris   analysis   workdir/v2_42_analysis     FAILED         {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990613   2x2_production_polaris   analysis   workdir/v2_43_analysis     JOB_FINISHED   {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990614   2x2_production_polaris   analysis   workdir/v2_44_analysis     JOB_FINISHED   {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990615   2x2_production_polaris   analysis   workdir/v2_45_analysis     JOB_FINISHED   {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990616   2x2_production_polaris   analysis   workdir/v2_46_analysis     JOB_FINISHED   {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990617   2x2_production_polaris   analysis   workdir/v2_47_analysis     JOB_FINISHED   {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990618   2x2_production_polaris   analysis   workdir/v2_48_analysis     JOB_FINISHED   {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990619   2x2_production_polaris   analysis   workdir/v2_49_analysis     JOB_FINISHED   {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
