ID         Site                     App     Workdir              State           Tags                                                                                               
33961764   2x2_production_polaris   larnd   workdir/36_larnd     JOB_FINISHED    {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961765   2x2_production_polaris   larnd   workdir/37_larnd     JOB_FINISHED    {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961766   2x2_production_polaris   larnd   workdir/38_larnd     JOB_FINISHED    {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961767   2x2_production_polaris   larnd   workdir/39_larnd     JOB_FINISHED    {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961768   2x2_production_polaris   larnd   workdir/40_larnd     JOB_FINISHED    {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961769   2x2_production_polaris   larnd   workdir/41_larnd     JOB_FINISHED    {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961770   2x2_production_polaris   larnd   workdir/42_larnd     RESTART_READY   {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961771   2x2_production_polaris   larnd   workdir/43_larnd     JOB_FINISHED    {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961772   2x2_production_polaris   larnd   workdir/44_larnd     JOB_FINISHED    {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961773   2x2_production_polaris   larnd   workdir/45_larnd     JOB_FINISHED    {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961774   2x2_production_polaris   larnd   workdir/46_larnd     JOB_FINISHED    {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961775   2x2_production_polaris   larnd   workdir/47_larnd     JOB_FINISHED    {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961776   2x2_production_polaris   larnd   workdir/48_larnd     JOB_FINISHED    {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961777   2x2_production_polaris   larnd   workdir/49_larnd     JOB_FINISHED    {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961778   2x2_production_polaris   larnd   workdir/50_larnd     JOB_FINISHED    {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
