ID         Site                     App              Workdir                          State           Tags                                                                                                                  
33984333   2x2_production_polaris   flow2supera_v1   workdir/v1_22_flow2supera_v1     JOB_FINISHED    {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984334   2x2_production_polaris   flow2supera_v1   workdir/v1_23_flow2supera_v1     JOB_FINISHED    {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984335   2x2_production_polaris   flow2supera_v1   workdir/v1_24_flow2supera_v1     JOB_FINISHED    {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984336   2x2_production_polaris   flow2supera_v1   workdir/v1_25_flow2supera_v1     JOB_FINISHED    {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984337   2x2_production_polaris   flow2supera_v1   workdir/v1_26_flow2supera_v1     JOB_FINISHED    {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984338   2x2_production_polaris   flow2supera_v1   workdir/v1_27_flow2supera_v1     JOB_FINISHED    {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984339   2x2_production_polaris   flow2supera_v1   workdir/v1_28_flow2supera_v1     JOB_FINISHED    {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984340   2x2_production_polaris   flow2supera_v1   workdir/v1_29_flow2supera_v1     JOB_FINISHED    {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984341   2x2_production_polaris   flow2supera_v1   workdir/v1_30_flow2supera_v1     JOB_FINISHED    {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984342   2x2_production_polaris   flow2supera_v1   workdir/v1_31_flow2supera_v1     JOB_FINISHED    {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984343   2x2_production_polaris   flow2supera_v1   workdir/v1_32_flow2supera_v1     JOB_FINISHED    {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984344   2x2_production_polaris   flow2supera_v1   workdir/v1_33_flow2supera_v1     JOB_FINISHED    {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
33984345   2x2_production_polaris   flow2supera_v1   workdir/v1_34_flow2supera_v1     JOB_FINISHED    {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_flow2supera_v1_v1', 'job_start': '1'}      
