ID         Site                     App         Workdir                     State          Tags                                                                                                          
33987381   2x2_production_polaris   inference   workdir/v2_1_inference      JOB_FINISHED   {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987382   2x2_production_polaris   inference   workdir/v2_2_inference      JOB_FINISHED   {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987383   2x2_production_polaris   inference   workdir/v2_3_inference      JOB_FINISHED   {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987384   2x2_production_polaris   inference   workdir/v2_4_inference      JOB_FINISHED   {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987385   2x2_production_polaris   inference   workdir/v2_5_inference      JOB_FINISHED   {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987386   2x2_production_polaris   inference   workdir/v2_6_inference      JOB_FINISHED   {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987387   2x2_production_polaris   inference   workdir/v2_7_inference      JOB_FINISHED   {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987388   2x2_production_polaris   inference   workdir/v2_8_inference      JOB_FINISHED   {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987389   2x2_production_polaris   inference   workdir/v2_9_inference      FAILED         {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}       
33987390   2x2_production_polaris   inference   workdir/v2_10_inference     JOB_FINISHED   {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}      
33987391   2x2_production_polaris   inference   workdir/v2_11_inference     JOB_FINISHED   {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}      
33987392   2x2_production_polaris   inference   workdir/v2_12_inference     JOB_FINISHED   {'index': '12', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}      
33987393   2x2_production_polaris   inference   workdir/v2_13_inference     FAILED         {'index': '13', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}      
33987394   2x2_production_polaris   inference   workdir/v2_14_inference     JOB_FINISHED   {'index': '14', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v2', 'job_start': '1'}      
