ID         Site                     App    Workdir            State              Tags                                                                         
33961909   2x2_production_polaris   flow   workdir/53_flow    RESTART_READY      {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961910   2x2_production_polaris   flow   workdir/54_flow    JOB_FINISHED       {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961911   2x2_production_polaris   flow   workdir/55_flow    RESTART_READY      {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961912   2x2_production_polaris   flow   workdir/56_flow    JOB_FINISHED       {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961913   2x2_production_polaris   flow   workdir/57_flow    JOB_FINISHED       {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961914   2x2_production_polaris   flow   workdir/58_flow    JOB_FINISHED       {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961915   2x2_production_polaris   flow   workdir/59_flow    AWAITING_PARENTS   {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961916   2x2_production_polaris   flow   workdir/60_flow    AWAITING_PARENTS   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961917   2x2_production_polaris   flow   workdir/61_flow    RESTART_READY      {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961918   2x2_production_polaris   flow   workdir/62_flow    JOB_FINISHED       {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961919   2x2_production_polaris   flow   workdir/63_flow    JOB_FINISHED       {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961920   2x2_production_polaris   flow   workdir/64_flow    RESTART_READY      {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961921   2x2_production_polaris   flow   workdir/65_flow    RESTART_READY      {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961922   2x2_production_polaris   flow   workdir/66_flow    JOB_FINISHED       {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961923   2x2_production_polaris   flow   workdir/67_flow    AWAITING_PARENTS   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961924   2x2_production_polaris   flow   workdir/68_flow    RESTART_READY      {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961925   2x2_production_polaris   flow   workdir/69_flow    RESTART_READY      {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961926   2x2_production_polaris   flow   workdir/70_flow    RESTART_READY      {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961927   2x2_production_polaris   flow   workdir/71_flow    RESTART_READY      {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961928   2x2_production_polaris   flow   workdir/72_flow    RESTART_READY      {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961929   2x2_production_polaris   flow   workdir/73_flow    RESTART_READY      {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961930   2x2_production_polaris   flow   workdir/74_flow    RESTART_READY      {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961931   2x2_production_polaris   flow   workdir/75_flow    RESTART_READY      {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961932   2x2_production_polaris   flow   workdir/76_flow    AWAITING_PARENTS   {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961933   2x2_production_polaris   flow   workdir/77_flow    JOB_FINISHED       {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961934   2x2_production_polaris   flow   workdir/78_flow    JOB_FINISHED       {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961935   2x2_production_polaris   flow   workdir/79_flow    AWAITING_PARENTS   {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961936   2x2_production_polaris   flow   workdir/80_flow    RESTART_READY      {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961937   2x2_production_polaris   flow   workdir/81_flow    JOB_FINISHED       {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961938   2x2_production_polaris   flow   workdir/82_flow    RESTART_READY      {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961939   2x2_production_polaris   flow   workdir/83_flow    RESTART_READY      {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961940   2x2_production_polaris   flow   workdir/84_flow    RESTART_READY      {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961941   2x2_production_polaris   flow   workdir/85_flow    RESTART_READY      {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961942   2x2_production_polaris   flow   workdir/86_flow    RESTART_READY      {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961943   2x2_production_polaris   flow   workdir/87_flow    JOB_FINISHED       {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961944   2x2_production_polaris   flow   workdir/88_flow    RESTART_READY      {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961945   2x2_production_polaris   flow   workdir/89_flow    JOB_FINISHED       {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961946   2x2_production_polaris   flow   workdir/90_flow    RESTART_READY      {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961947   2x2_production_polaris   flow   workdir/91_flow    JOB_FINISHED       {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961948   2x2_production_polaris   flow   workdir/92_flow    JOB_FINISHED       {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961949   2x2_production_polaris   flow   workdir/93_flow    RESTART_READY      {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961950   2x2_production_polaris   flow   workdir/94_flow    AWAITING_PARENTS   {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961951   2x2_production_polaris   flow   workdir/95_flow    JOB_FINISHED       {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961952   2x2_production_polaris   flow   workdir/96_flow    RESTART_READY      {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961953   2x2_production_polaris   flow   workdir/97_flow    RESTART_READY      {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961954   2x2_production_polaris   flow   workdir/98_flow    RESTART_READY      {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961955   2x2_production_polaris   flow   workdir/99_flow    JOB_FINISHED       {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961956   2x2_production_polaris   flow   workdir/100_flow   RESTART_READY      {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961957   2x2_production_polaris   flow   workdir/101_flow   RESTART_READY      {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961958   2x2_production_polaris   flow   workdir/102_flow   RESTART_READY      {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961959   2x2_production_polaris   flow   workdir/103_flow   JOB_FINISHED       {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961960   2x2_production_polaris   flow   workdir/104_flow   JOB_FINISHED       {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961961   2x2_production_polaris   flow   workdir/105_flow   FAILED             {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961962   2x2_production_polaris   flow   workdir/106_flow   JOB_FINISHED       {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961963   2x2_production_polaris   flow   workdir/107_flow   AWAITING_PARENTS   {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961964   2x2_production_polaris   flow   workdir/108_flow   RESTART_READY      {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961965   2x2_production_polaris   flow   workdir/109_flow   JOB_FINISHED       {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961966   2x2_production_polaris   flow   workdir/110_flow   JOB_FINISHED       {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961967   2x2_production_polaris   flow   workdir/111_flow   JOB_FINISHED       {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961968   2x2_production_polaris   flow   workdir/112_flow   JOB_FINISHED       {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961969   2x2_production_polaris   flow   workdir/113_flow   RESTART_READY      {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961970   2x2_production_polaris   flow   workdir/114_flow   RESTART_READY      {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961971   2x2_production_polaris   flow   workdir/115_flow   FAILED             {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961972   2x2_production_polaris   flow   workdir/116_flow   FAILED             {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961973   2x2_production_polaris   flow   workdir/117_flow   RESTART_READY      {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961974   2x2_production_polaris   flow   workdir/118_flow   RESTART_READY      {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961975   2x2_production_polaris   flow   workdir/119_flow   JOB_FINISHED       {'index': '119', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961976   2x2_production_polaris   flow   workdir/120_flow   JOB_FINISHED       {'index': '120', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961977   2x2_production_polaris   flow   workdir/121_flow   RESTART_READY      {'index': '121', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
33961978   2x2_production_polaris   flow   workdir/122_flow   AWAITING_PARENTS   {'index': '122', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}  
